DIRECTORID	NAME	TITLES
nm0706888	Daniel Raim	Dirty Beautiful, Fiddler's Journey to the Big Screen, Harold and Lillian: A Hollywood Love Story
nm3715815	George Kirby	Doctor Strange, Everest, The Girl with All the Gifts
nm3745731	Bogdan Mirica	Dogs
nm2384274	Murdo MacLeod	Dracula Untold, Knox
nm0126440	John Byrum	Duets, Heart Beat, Inserts, The Razor's Edge
nm0615767	Susan Muska	Edie & Thea: A Very Long Engagement, La Chana, The Brandon Teena Story
nm0034564	Luis Argueta	El silencio de Neto
nm1385244	Michael Gramaglia	End of the Century: The Story of the Ramones
nm1625174	Tom MacRae	Everybody's Talking About Jamie
nm0762674	Jonathan Sanger	Flight of the Navigator, Marshall, The Elephant Man, Vanilla Sky
nm0039192	Bethany Ashton Wolf	Forever My Girl, Little Chenier
nm0192157	Richard E. Cunha	Frankenstein's Daughter, Missile to the Moon, She Demons
nm0957263	Joseph Zito	Friday the 13th: The Final Chapter, Invasion U.S.A., Missing in Action, The Prowler
nm0706973	Douglas A. Raine	From a Place of Darkness, Lucky U Ranch, Reign of Fire
nm2677924	Joann Sfar	Gainsbourg: A Heroic Life, Kahlil Gibran's The Prophet, Little Vampire, The Rabbi's Cat
nm0442828	Shôji Kawamori	Ghost in the Shell, Macross Zero
nm0612780	Nick Mundy	Girls Trip, Our RoboCop Remake
nm1420399	Niall Heery	Gold
nm0705474	Peter Rader	Grandmother's House, Hired to Kill, The Last Legion, Waterworld
nm0462030	Masaki Kobayashi	Harakiri, Samurai Rebellion, The Human Condition I: No Greater Love, The Human Condition III: A Soldier's Prayer
nm0005783	Alvaro Mancori	Hercules the Invincible
nm0817848	Alan Spencer	Hexed
nm1928581	Baya Kasmi	Hippocrates: Diary of a French Doctor, The (In)Famous Youssef Salem
nm0639376	Billy O'Brien	I Am Not a Serial Killer, Isolation
nm0000597	Bill Pullman	Independence Day, Independence Day: Resurgence, Lost Highway, Spaceballs
nm5115294	Evan Grae Davis	It's a Girl!
nm0614609	Paul Murphy	King Kong, Mortal Engines, The Lord of the Rings: The Fellowship of the Ring
nm0649097	Max Ophüls	La Ronde, La tendre ennemie, Le Plaisir, Lola Montès
nm0207772	Lucio De Caro	La legge violenta della squadra anticrimine
nm1680884	Karen Cinorre	Last Days, Mayday
nm2860899	Jeanne Leblanc	Les nôtres, Source Code, The Voyeurs, X-Men: Apocalypse
nm0722151	Efim Reznikov	Little Vera
nm0057284	Shirley Barrett	Love Serenade, Peter Pan, South Solitary
nm1479854	Justin Barber	Medicine for Melancholy, Phoenix Forgotten
nm2557193	Anthony O'Brien	Megalodon, The Timber
nm10879939	Mathukutty Xavier	Mili
nm10616141	Noah Miller	Alien: Alone
nm0632815	Eulogio Nishiyama	Allpakallpa, Kukuli
nm0004462	Jean-Louis Trintignant	Amour, My Night at Maud's, Three Colors: Red, Z
nm0223939	Michael Di Jiacomo	Animals with the Tollkeeper, Revenge of the Green Dragons, Somewhere Tonight
nm0601785	Richard Moore	Annie, Circle of Iron, Mackenna's Gold
nm0866017	Mitch Toles	Ant-Man, Gladiator, No Time to Die, Solo: A Star Wars Story
nm0671640	Nicholas de Pencier	Anthropocene: The Human Epoch, Long Time Running
nm3506796	Bjorn-Erik Aschim	Arthur Christmas, Everything I Can See From Here, The Illusionist
nm5249953	Miki Komuro	Attack on Titan, Ghost in the Shell: Arise - Border 2: Ghost Whispers, Gintama: The Final, Psycho-Pass: The Movie
nm0499488	Xavier Legrand	Au Revoir les Enfants, Custody, Just Before Losing Everything
nm0568981	Troy McGatlin	Avatar, Broken Arrow, Broken Fences
nm1926421	Jason Scott Sadofsky	BBS: The Documentary, DEFCON: The Documentary, Get Lamp
nm0000727	Percy Adlon	Bagdad Cafe, Céleste, Sugar Baby, Younger and Younger
nm2577199	Chris Peckover	Better Watch Out, Undocumented
nm6440607	Justin Snyder	Bigfoot: Path of the Beast
nm1551663	Faruk Sabanovic	Birds Like Us, Snijeg
nm1309359	Bryan Barber	Black Dog, Idlewild
nm0273820	Chris Gilmore	Blood Pageant, Followed
nm1639452	Chee Keong Cheung	Bodyguard: A New Beginning, Redcon-1
nm0925482	Stiles White	Boogeyman, Knowing, Ouija, The Possession
nm5192303	Aleksandr Babaev	Bornless Ones
nm0130536	James Callis	Bridget Jones's Diary
nm0111845	Adam Brooks	Bridget Jones: The Edge of Reason, Definitely, Maybe, French Kiss
nm4470211	Jimmy Keyrouz	Broken Keys
nm0055823	Boris Barnet	By the Bluest of Seas, Okraina, Secret Agent, The Adventures of the Three Reporters
nm0237876	Karim Dridi	Bye-Bye, Khamsa
nm0212092	Alison De Vere	Café Bar, Yellow Submarine
nm4045090	Verena Paravel	Caniba, Foreign Parts, Leviathan, The Fabric of the Human Body
nm1199513	Dave Kim	Captain America: The Winter Soldier, In Time, Snowpiercer, The Day the Earth Stood Still
nm0573710	Michael McNamara	Catwalk: Tales from the Cat Show Circuit
nm0751481	Toby Russell	Cinema of Vengeance
nm1164602	Ciarán Foy	Citadel, Eli, Sinister 2
nm0251774	Fernando Eimbcke	Club Sandwich, Duck Season, Lake Tahoe
nm3402487	Jonas Baeckeland	Cool Abdoul
nm0613562	Shûkô Murase	Cowboy Bebop: The Movie - Knockin' on Heaven's Door, Final Fantasy: The Spirits Within
nm0940985	Ryan Jeremy Woodward	Cowboys & Aliens, Snow White and the Huntsman, Spider-Man 3, The Avengers
nm2671235	Aleksey Pimanov	Crimea, Dolly the Sheep Was Evil and Died Early
nm1286340	Angela Robinson	D.E.B.S., D.E.B.S., Professor Marston & the Wonder Women
nm0417708	Annabel Jankel	D.O.A., Super Mario Bros., Tell It to the Bees
nm1066482	Vinay Sapru	Dabangg, Lucky: No Time for Love, Sanam Teri Kasam
nm1206631	Ezequiel Crupnicoff	Dark Buildings (A Crack in the Wall), Hypersomnia
nm0475878	Hitomi Kuroki	Dark Water, When Marnie Was There
nm2068796	Caroline Deruas	Daydreams
nm0695215	Andrea Prandstraller	DeGeneration
nm6370124	Kevin Ang	Deadpool 2, Morbius, The New Mutants
nm6678974	Felipe Belalcazar	Death by Metal
nm0529201	Mikael Lypinski	Desert Coffee
nm1962313	Dibakar Banerjee	Detective Byomkesh Bakshy!, Khosla Ka Ghosla!, Shanghai
nm0687913	Bruno Podalydès	Dieu seul me voit, Paris, Je T'aime, The Perfume of the Lady in Black
nm1098493	Rawson Marshall Thurber	Dodgeball: A True Underdog Story, Easy A, Red Notice, Skyscraper
nm1024030	Nicholas David Brandt	Dog, Planet of the Apes, The Rules of Attraction, X2: X-Men United
nm0446819	Richard Kelly	Domino, Donnie Darko, Southland Tales, The Box
nm1793079	Fede Alvarez	Don't Breathe, Evil Dead, The Girl in the Spider's Web
nm2241637	Giovanni Galletta	Dopo quella notte
nm3071876	Yukiyo Teramoto	Doraemon: Nobita and the New Steel Troops: ~Winged Angels~, Doraemon: Nobita's Secret Gadget Museum
nm0000841	Michael Ballhaus	Dracula, GoodFellas, The Age of Innocence, The Fabulous Baker Boys
nm0412247	Guillaume Ivernel	Dragon Hunters, Leap!, Spycies
nm0000425	Peter Greenaway	Drowning by Numbers, Eisenstein in Guanajuato, Nightwatching, The Cook, the Thief, His Wife & Her Lover
nm0012281	Felix O. Adlon	Eat Your Heart Out, Mahler on the Couch, Salmonberries, Younger and Younger
nm0660893	John Paragon	Elvira: Mistress of the Dark, UHF
nm0011982	Pierre Adidge	Elvis on Tour, Joe Cocker: Mad Dogs & Englishmen
nm9496178	He Wen	Endless Loop
nm3121462	Charlotte Purdy	Erebus: Into the Unknown
nm3349927	Oren Uziel	Escape Room: Tournament of Champions, Mortal Kombat, The Cloverfield Paradox, The Lost City
nm0875453	Kazuya Tsurumaki	Evangelion: 1.0 You Are (Not) Alone, Gunbuster 2: Diebuster, Neon Genesis Evangelion: The End of Evangelion
nm0897243	Gunnar Vikene	Falling Sky, War Sailor
nm0078660	Jessica Beshir	Faya Dayi
nm0923330	Tanya Wexler	Finding North, Jolt, Relative Evil
nm1488177	Aurélie Saada	Foon, Molière, Rose, Would I Lie to You?
nm0734308	David Rocksavage	Four Adventures of Reinette and Mirabelle, Other Voices, Other Rooms, Shadows in the Sun, Una noche
nm0399497	Martin Huberty	Fried Green Tomatoes, Red Corner, The Mighty Ducks, Up Close & Personal
nm2038422	Michael J. Gallagher	Funny Story, The Thinning
nm0393094	Ishirô Honda	Godzilla, Godzilla, King Kong vs. Godzilla, Ran
nm4194421	Henrik Moltke	Good Copy Bad Copy, TPB AFK: The Pirate Bay Away from Keyboard, Zero Days
nm0758431	Robert Salis	Grande école
nm8677229	James Lathos	HR Finding Joseph I
nm3889891	Leah Shore	Hallway
nm0219720	Pen Densham	Harriet, Moll Flanders, Robin Hood: Prince of Thieves, The Last Full Measure
nm9813135	Chris Smead	Highline
nm0781477	Paul Seed	House of Cards
nm1913128	Nobuyuki Takeuchi	Howl's Moving Castle, Ponyo, Spirited Away, The Cat Returns
nm2427173	Clive Turner	Howling IV: The Original Nightmare, Howling V: The Rebirth, Howling: New Moon Rising, The Lawnmower Man
nm5321270	Jason Zavaleta	I Wrote This for You
nm1031723	Johnny O'Reilly	In the Land of Saints and Sinners, Moscow Never Sleeps
nm0775480	Frederick Schroeder	Indiscretion, Stripped
nm0504900	Siu-Hung Leung	Ip Man, Temptation of a Monk, The Legend Is Born: Ip Man
nm0952791	Pio Zamuner	Jecão... Um Fofoqueiro no Céu, O Jeca Contra o Capeta
nm2894714	Heidi Burkey	Jedi Junior High
nm2176784	Kevin Hamedani	Junk, ZMD: Zombies of Mass Destruction
nm1362893	Petr Jákl	Kajínek, Medieval
nm7249446	Wajahat Rauf	Karachi Se Lahore
nm9541459	Yashowardhan Mishra	Kathal: A Jackfruit Mystery
nm0040440	Thodoris Atheridis	Kazantzakis, Love Struck, Mia melissa ton Avgousto, Perfect Strangers
nm3581002	Robert Hamilton	Key, The Suffering
nm4998712	Sugeeth	Kinavally
nm0673512	Jack Perez	La Cucaracha, Mega Shark vs. Giant Octopus
nm7966933	Ben Wilder	Lake Fear 2: The Swamp
nm8617407	Mary Camarena	Las buenas hierbas
nm0184947	C. Jay Cox	Latter Days, New in Town, Sweet Home Alabama
nm11368300	Jean-Pierre Van Der Spuy	Les Misérables: The Staged Concert, The Phantom of the Opera at the Royal Albert Hall
nm0581170	Christian Merret-Palmair	Les portes de la gloire
nm0909608	Dearbhla Walsh	Little Dorrit
nm3210515	Bin Huang	Long Day's Journey Into Night, My Best Summer, You Are My Sunshine
nm0479899	Jacques Lacerte	Love Me Deadly
nm0538353	Karl Maka	Mad Mission, Mad Mission 4: You Never Die Twice, The Thirty Million Dollar Rush
nm3960381	Rubaiyat Hossain	Made in Bangladesh
nm0598032	Elaine Mongeon	Magic Mike XXL, Swiped to Death
nm0926592	Margaret Whitton	Major League, Major League II, The Man Without a Face, The Secret of My Success
nm7331430	Josh F. Huber	Making Babies
nm3309730	Laura Ricciardi	Making a Murderer
nm0868315	Ramón Torrado	Malvaloca
nm7435670	Yevheniy Yermak	Mavka: The Forest Song
nm3426076	Ryan Connolly	Ballistic
nm9310440	Marcin Borchardt	Beksinscy. Album wideofoniczny, Tony Halik
nm0337471	Joseph Greco	Canvas, The Bodyguard, Titanic
nm0864091	John Tintori	Chicago Cab, Dogfight, Eight Men Out
nm0947779	Chi-Kin Yeung	China Dolls
nm5244008	Ryan McGarry	Code Black
nm2430239	Kat Mansoor	Cow
nm0899167	Alfred Viola	Cry of the Penguins
nm9048484	Abdelhamid Bouchnak	Dachra
nm0756854	Kôsei Saitô	Death of a Ninja, I Want To
nm0802132	Harjit Singh	Eh Janam Tumhare Lekhe
nm2106637	Aziz Ansari	Epic
nm4654673	Joe Laughrey	Family Blood, Loss Prevention, Monsters Wanted, Split
nm0230696	Lola Doillon	Fanny's Journey, The Spanish Apartment
nm0113477	Dylan Brown	Finding Nemo, Ratatouille, The Hitchhiker's Guide to the Galaxy, The Incredibles
nm1996358	Andre Champagne	Fire Down Below, The Dr. Jekyll & Mr. Hyde Rock 'n Roll Musical, The Perfect Host, You Kill Me
nm0531404	Colin MacCabe	Friendship's Death, Young Soul Rebels
nm0094280	Winfried Bonengel	Führer Ex
nm0433219	S. Lee Pogostin	Golden Needles, Hard Contract, High Road to China
nm0006452	Stanley Kramer	Guess Who's Coming to Dinner, Inherit the Wind, Judgment at Nuremberg, On the Beach
nm0117698	Dietrich Brüggemann	Heil, Nö, Stations of the Cross
nm0035697	Eric Armstrong	Hollow Man, Jurassic Park, Star Trek VI: The Undiscovered Country, Stuart Little 2
nm0170111	Katie Cokinos	I Dream Too Much, Slacker, Texas Chainsaw Massacre: The Next Generation, What's Eating Gilbert Grape
nm0536238	Luigi Magni	In the Name of the Pope King, Nell'anno del Signore
nm9491634	Jessica Moutray	Jikirag
nm4438615	Chelsea Winstanley	Jojo Rabbit, Waru, What We Do in the Shadows
nm3536332	Celia Rico Clavellino	Journey to a Mother's Room
nm0133899	Guillaume Canet	Joyeux Noel, Little White Lies, Love Me If You Dare, Tell No One
nm2677913	Vasanthabalan	Kaaviya Thalaivan, Veyil
nm3232264	Reinaldo Marcus Green	King Richard, Monsters and Men
nm0692538	Todd Portugal	Kung Pow: Enter the Fist, The Last Man on Earth
nm0312866	Augusto Genina	L'assedio dell'Alcazar
nm5975105	Jeffrey Gould	La Palabra en el Bosque
nm0828008	Sanford Sternshein	Later Days
nm2161035	Isti Madarász	Loop
nm3516512	Michael Kerry Matthews	Lost Holiday, Newlyweeds
nm0375551	Lenka Hellstedt	Maata meren alla, Minä ja Morrison, Winning Ticket
nm0661700	Richard C. Parish	Magic Christmas Tree
nm11276177	Matt Hamilton	Make Me a Sandwich
nm3474042	Toby Burwell	Making a Killing: The Untold Story of Psychotropic Drugging
nm1008324	Stamatis Tsarouchas	Mathe paidi mou grammata
nm3326895	Alex K. Lee	Maybe Tomorrow
nm6010478	Ju-hyoung Lee	Fork Lane, Red Family
nm0414912	Sarah Jacobson	I Was a Teenage Serial Killer, Mary Jane's Not a Virgin Anymore
nm0663261	W.J. Parolini	Igor and the Lunatics
nm0470872	Mark Krenzien	Journey to Space
nm5163011	Sherice Griffiths	Justice League
nm0155637	Wai-Man Cheng	Lethal Angels
nm0737053	Maclean Rogers	Million Dollar Manhunt
nm1184241	Steven G. Lee	Minority Report, Sky Captain and the World of Tomorrow, Small Soldiers, Star Wars: Episode I - The Phantom Menace
nm0400491	Carol Hughes	Missing Link
nm1190360	Dimitar Mitovski	Mission London
nm0005680	Ernest Day	Mission: Impossible, Moonraker, The Spy Who Loved Me, You Only Live Twice
nm2120645	Tom Berninger	Mistaken for Strangers, Sun Dogs, Taking Woodstock
nm0003751	Marichelle Daywalt	Mockingbird, Stark Raving Mad
nm0131643	Ken Cameron	Monkey Grip
nm14019476	Md. Hafizur Rahman	Monpura, Rocketry: The Nambi Effect
nm0266255	Jun Falkenstein	Monster High: Welcome to Monster High, The Lion King, The Tigger Movie
nm0498174	Rowland V. Lee	Mother Carey's Chickens, Son of Frankenstein, The Count of Monte Cristo
nm2957397	Tobias Wiemann	Mountain Miracle
nm2204106	Jaron Henrie-McCrea	Movie 43, The Gateway
nm0233757	Jaco Van Dormael	Mr. Nobody, The Brand New Testament, The Eighth Day, Toto the Hero
nm0308647	Greg Garthe	Mr. Woodcock, Shanghai Knights, The Judge, Wedding Crashers
nm1415729	Sanjay F. Gupta	Mujhse Shaadi Karogi, Qayamat: City Under Threat, Welcome
nm1379108	Yasmin Ahmad	Mukhsin
nm0006448	Gaurav Seth	Multiverse, Prisoner X
nm3433064	Pedro Solís García	Mummies, Strings
nm0019596	Jannis Aliferis	Murder in Kolonaki
nm0300880	Daniele Gaglianone	My Class
nm4754360	Anthony Desiato	My Comic Shop Country
nm2060498	Steven Wouterlood	My Extraordinary Summer with Tess
nm5994206	Kevin Wilson Jr.	My Nephew Emmett
nm2480204	Navdeep Singh	NH 10
nm3658945	Mariko Munro	Nam June Paik: Moon Is the Oldest TV
nm1644451	Peter J. Eaton	Necessary Evil, Toy Soldiers
nm0279151	Van Fischer	Neo Ned
nm3265368	Josh Webber	Never Heard
nm4258146	Martin Christopher Bode	Never Look Away, Speed Racer, The Reader
nm1823306	Tommy Withrow	Nightmare City 2035, Scorpius Gigantus
nm0948523	Yonfan	No.7 Cherry Lane
nm1363374	Chandra Prakash Dwivedi	OMG 2, Ram Setu
nm1894365	Abdallah Omeish	Occupation 101
nm2400729	Sarab Neelam	Ocean of Pearls
nm1580724	Jean-Jacques Mantello	OceanWorld 3D, Wonders of the Sea
nm1963717	David Apkian	Odyssey Into the Mind's Eye
nm2917126	Özgür Dogan	On the Way to School
nm2278268	Tim Rouhana	One Last Thing, Trigger Point, Willy's Wonderland
nm15833444	Takahiro Imamura	One Piece: Episode of Alabasta - The Desert Princess and the Pirates
nm0351261	Sara Gómez	One Way or Another
nm0482592	Dante Lam	Operation Mekong, Operation Red Sea, The Viral Factor, Unbeatable
nm8205919	Nelson Venkatesan	Oru Naal Koothu
nm2603848	Joshua Sasson	Our RoboCop Remake
nm5083134	Marta Prus	Over the Limit
nm0356966	Stewart Halpern-Fingerhut	Pageant
nm11160732	Cory Wexler Grant	Painter
nm0330108	Dan Gordon	Passenger 57, Rambo: Last Blood, The Hurricane, Wyatt Earp
nm6559272	Victor Alonso-Berbel	Perfectly Natural
nm4422247	Jeong-hoon Kim	Petty Romance, The Accidental Detective, The Pirates: The Last Royal Treasure
nm1769336	Chadden Hunter	Planet Earth II
nm3174696	Brian Marshall	Play It Loud: The Story of Marshall
nm1915966	Andrew Sherburne	Pond Hockey, Saving Brinton
nm7869796	Alessio Nencioni	Possessione demoniaca
nm0162166	Milan Cieslar	Pramen zivota
nm1395408	Josh Alexander	Prescription Thugs, Southern Rites, The Reagan Show
nm5162480	Seimei Kidokoro	Puella Magi Madoka Magica the Movie Part 1: Beginnings
nm0522160	Guy J. Louthan	Raising Arizona, The Call, The Last Seduction
nm0732299	Herb Robins	Rat Pfink and Boo Boo, Sinthia: The Devil's Doll, The Funhouse, The Worm Eaters
nm0090439	Sergey Bobrov	Realnyy papa
nm1328626	Nicholas Colla	Rebooted
nm0711840	Brett Ratner	Red Dragon, Rush Hour, Skyline, X-Men: The Last Stand
nm0989998	Chao-Bin Su	Reign of Assassins, Silk, The Forbidden Kingdom
nm2299710	J.B. Benna	Reign of Fire, The Hitchhiker's Guide to the Galaxy, The Recruit
nm2186258	Luke Higginson	Relax, I'm from the Future, Wander
nm0519419	Frank Longo	Repli-Kate
nm0856267	Hiroshi Teshigahara	Rikyu, The Face of Another, The Man Without a Map, Woman in the Dunes
nm1441129	Carlene Cordova	Ringers: Lord of the Fans
nm3170529	Michael Please	Robin Robin, The Eagleman Stag
nm16114958	Alyona Belova	Round Da Way
nm5446694	Sam Vasquez	Ruben's Place
nm1337818	François Lamoureux	Rush: Snakes & Arrows - Live in Holland
nm0888186	Richard Van Vleet	Ryan and Sean's Not So Excellent Adventure
nm2359768	Chiaki Kon	Sailor Moon Eternal
nm5459476	Chris Temple	Salam Neighbor
nm0334435	Edmund Grainger	Sands of Iwo Jima
nm0590889	Daniel Minahan	Series 7: The Contenders
nm0820626	Christopher St. John	Shaft, Top of the Heap
nm2349060	Bejoy Nambiar	Shaitan, Solo, Taish
nm6512883	Andrey Galat	Sheep & Wolves
nm3444024	Javad Razavian	Snake Venom
nm2272880	Bobbie Peers	Sniffer
nm10058036	Roberto Lipari	So tutto di te
nm0915233	Sal Watts	Solomon King
nm7517648	Julian Baner	Some Southern Waters
nm3756711	Alexis Gambis	Son of Monarchs, The Color of Time
nm0441809	Naama Kates	Sorceress, Stepmom
nm0956890	Thom Zimny	Springsteen on Broadway, The Promise: The Making of Darkness on the Edge of Town
nm0372138	James Head	Stakeout
nm0083532	Leo Birinsky	Stamboul Quest, Waxworks
nm2050328	José Miguel Contreras	Strange Wilderness
nm0781733	Joshua Seftel	Stranger at the Gate, War, Inc.
nm9289257	Christian Frelinghuysen	Stroke of Luck
nm2731165	Mathew Miller	Subterranea
nm0134112	Jordan Canning	Suck It Up
nm1058265	Nurbek Egen	Sunduk predkov
nm0710043	Bharat Rangachary	Takkar, Waqt Hamara Hai
nm0681617	Picha	Tarzoon: Shame of the Jungle, The Big Bang
nm7134179	Sam Barlow	Telling Lies
nm4562662	Mandeep Kumar	Tere Naal Love Ho Gaya
nm0764776	Deran Sarafian	Terminal Velocity
nm1209487	Curtis Chin	Tested
nm2106115	Anthony Power	The Abrafaxe: Under the Black Flag
nm0574423	Carlton McRae	The Awakening of Gabriella
nm1184205	Mark Gregory	The Batman Shootings
nm0900485	Román Viñoly Barreto	The Beast Must Die
nm3381168	Yishai Orian	The Beetle
nm2994121	Nic Auerbach	The Big I Am
nm5419191	Max Ksjonda	The Bobot
nm4841251	Sasha Sibley	The Box
nm5690805	Kaveh Sajjadi	The Buffalo, The Salesman
nm0408436	Thomas H. Ince	The Coward
nm0936823	William Witney	The Crimson Ghost
nm1278752	Paul Gagné	The Da Vinci Treasure, The Insatiable
nm4249424	Truls Toftenes	The Day Before Disclosure
nm0749439	Christophe Ruggia	The Devils
nm1335705	Hussein Shariffe	The Dislocation of Amber
nm1866607	John Lechner	The Dot
nm4143969	Zak Levitt	The Dream Team
nm0877218	Rosemarie Turko	The Dungeonmaster
nm0757976	Tewfik Saleh	The Dupes
nm6646390	Otto Bell	The Eagle Huntress
nm1427994	Ian Clark	The Facility
nm1973920	Hugo Berkeley	The Jazz Ambassadors
nm3155454	Ryan Bellgardt	The Jurassic Games
nm1379285	Marika Beiku	The Killers
nm9470141	Gun Phansuwon	The Legend of Muay Thai: 9 Satra
nm0497567	Juno John Lee	The Lego Ninjago Movie
nm3833429	Roger Scott	The Marshes
nm0689562	Philippe Pollet-Villard	The Mozart of Pickpockets
nm0394793	Andrew Horn	The Nomi Song, We Are Twisted Fucking Sister!
nm2935851	David Easteal	The Plains
nm0397227	David Howard	The Rookie Cop
nm2326979	Larysa Kondracki	The Whistleblower
nm0103092	Ty Bradford	The Wonderful Ice Cream Suit
nm0299923	Richard Gabai	The Wrong Woman, Virgin High
nm6939134	Dan Madison Savage	Them That Follow
nm1638111	Josh David Jordan	This World Won't Break
nm0893099	Thanasis Vengos	Ti ekanes ston polemo Thanasi
nm3594158	Benoit Toulemonde	Tripping with Nils Frahm
nm0903505	Vladimir Vorobyov	Truffaldino iz Bergamo
nm0530479	Chris Löfvén	Twentieth Century Oz
nm0088579	John Blizek	Tyrannosaurus Azteca
nm2704263	Stephen Fell	Unborn in the USA: Inside the War on Abortion
nm0293877	Eric Freiser	Under Oath, Warlock III: The End of Innocence, Whispers in the Dark
nm3412215	Gaël Leiblang	Usain Bolt: The Fastest Man Alive
nm6442131	Saravana Rajan	Vadacurry
nm1556155	Martin Jay Weiss	Vampires: The Turning
nm2013099	Jon Salmon	Video Game High School
nm13237430	Naomi Nagata	Visions of Frank
nm0020821	Matthew Allen	Walk the Talk
nm3604043	Gaspard Kuentz	We Don't Care About Music Anyway
nm1628215	Eli Steele	What Killed Michael Brown?
nm0129416	Anthony Caldarella	What's Up, Scarlet?
nm0956919	Bruno Zincone	White Fire
nm0336726	John Gray	White Irish Drinkers
nm1851321	Théo Court	White on White
nm2039738	Annika Grof	Within Limits
nm1199352	Sam Koji Hale	Yamasong: March of the Hollows
nm1908575	K. Hari Shankar	Yashoda
nm1397641	Jasmine D'Souza	One Night Stand
nm0056715	Marc Barrat	Orpailleur
nm2247200	Albert Serra	Pacifiction, The Death of Louis XIV
nm0762780	Aleksandr Sanin	Polikushka
nm1530431	Philip Martin	Prime Suspect 7: The Final Act
nm4649013	Adriana L. Dutra	Quanto Tempo o Tempo Tem
nm2151126	Eoin Macken	Resident Evil: The Final Chapter, The Forest, Till Death
nm6436497	Pavel Siska	Saurora
nm0115200	Philippe Browning	Shapeshifter
nm2039839	Lenny Lenox	Slices
nm0447337	Martin Kemp	Stalker, The Krays
nm0845440	Ágnes Sós	Stream of Love
nm4090848	Aneil Karia	Surge, The Long Goodbye
nm2964966	Adam Pease	TAD: Busted Circuits and Ringing Ears
nm15668251	Felix Herngren Måns Herngren	The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared
nm0075728	Benjamin Berman	The Amazing Johnathan Documentary
nm0472303	Steve Kroschel	The Beautiful Truth, Vertical Limit
nm0715892	Clive Rees	The Blockhouse, When the Whales Came
nm12716008	Rob McLaughlin	The Exchange
nm2996471	Sung Jin Ahn	The Lego Ninjago Movie
nm8030689	Camille Melvil	The Male Gaze: Strikers & Defenders
nm1962933	Cire Hensman	The Prey: Legend of Karnoctus
nm6164436	David Chen	The Primary Instinct
nm0534041	Lauren MacMullan	The Simpsons Movie, Wreck-It Ralph, Zootopia
nm2029862	Igor Drljaca	The Waiting Room, The White Fortress
nm2225974	Guy Fieri	The War with Grandpa
nm7443549	Rob Grabow	The Year of the Dog
nm0495148	Tim Leandro	Tomorrow Calling
nm2795590	Mina T. Son	Top Spin
nm3892381	Naotarô Endô	Tsukiji Wonderland
nm0429560	Otto Jongerius	Two Queens and One Consort
nm0440924	Pierre Kast	Vacances portugaises
nm0414025	Sammy Jackson	Vietnam in HD
nm1842541	Claudia Lorenz	What's Between Us
nm0766020	Oley Sassone	Wild Hearts Can't Be Broken
nm0785164	Julien Seri	Yamakasi
nm0662068	Ben Parker	Teenage Strangler
nm1937249	Paul Magnus Lundø	The Veil of Twilight
nm0044130	Villen Azarov	Vzroslye deti
nm5270197	Douglas Stahl	Z-Office
nm0017923	Nikolay Aleksandrovich	Zavtrak na trave
nm0023859	Keita Amemiya	Zeiram
nm0561230	Humberto Mauro	
nm0911799	Yu Wang	
nm0036048	Étienne Arnaud	
nm2342225	Boris Acosta	
nm2718008	Justin Steele	
nm2566169	Kyle Reiter	
nm0130735	Tom Caltabiano	
nm0720886	Harry Revier	
nm8192681	Christophe Kilian	
nm0949011	Kinji Yoshimoto	
nm0368366	Linda Hassani	
nm3987941	Mitesh Kumar Patel	
nm5707880	Phil Burgers	
nm0081599	Claudio Biern Boyd	
nm1231462	Tània Balló	
nm0563773	Ousmane William Mbaye	
nm2146152	Ivo Macharácek	
nm2388707	Pete McKinny	
nm2915980	Sylvie Gilman	
nm8614515	Ilker Can Karagulle	
nm0648900	Sergei Ovcharov	
nm5671757	Cody Kennedy	
nm0260322	José Escobar	
nm1597128	Camille Juza	
nm0135576	Eugenio Cappuccio	
nm4459669	Kevin Parker Flynn	
nm0011897	Roberta Findlay	
nm2078274	Jim Hoskinson	
nm0773949	Michael Schneider	
nm3889012	Alan Watkins	
nm0466793	John Korty	
nm4853354	Aditya Sarpotdar	
nm3431255	Jasmine C. Perry	
nm11442870	Noah Marks	
nm0533713	Michelle MacLaren	
nm1602570	Seon-Dong Yu	
nm8886302	Joel Núñez Arocha	
nm4106347	Tom Gore	
nm4948755	Chip Rossetti	
nm1117601	Bill Brummel	
nm0311435	Curt Geda	
nm0589278	Rusty Mills	
nm0223403	Bernard Deyriès	
nm0738056	Jürgen Roland	
nm0333637	Roger Graef	
nm0671226	Riccardo Pellizzeri	
nm2444689	Eric Nemoto	
nm1489979	Aidee Walker	
nm2741248	Ben Avishai	
nm0959977	Noburō Ōfuji	
nm2382963	Piotr Matwiejczyk	
nm0182146	Fabrizio Costa	
nm0762541	Arlene Sanford	
nm1078394	Peter von Puttkamer	
nm4409181	Daigo Matsui	
nm0419248	David Jason	
nm0107756	Lou Breslow	
nm2371638	Masaki Nishiura	
nm0669364	Richard Pearson	
nm6440635	Manouchehr Hadi	
nm2223412	Joel Kazuo Knoernschild	
nm0411178	Elyor Ishmukhamedov	
nm2104796	Steven Dupler	
nm3680655	Sean Cruser	
nm0319847	Grojo	
nm3655917	Ryan Patch	
nm0384342	James Hill	
