WRITERID	NAME	TITLES
nm0273919	Elena Ferrante	L'amore molesto, The Lost Daughter
nm0207640	Vincent De Brus	L'entente cordiale
nm0182450	Leonardo Di Costanzo	L'intrusa, The Inner Cage
nm0738705	José Román	La Pasión de Michelangelo
nm5602540	Juan Sebastián Mesa	La Roya, Los nadie
nm14404843	Shadi Cioffi	La bella stagione
nm3889354	Gustavo Hernández	La casa muda, You Shall Not Sleep
nm0709236	Frank Ramírez	La estrategia del caracol
nm0250784	Manuel Ángel Egea	La luz prodigiosa, The Girl of Your Dreams
nm1296673	Laura Citarella	La mujer de los perros, Ostende, Trenque Lauquen
nm0224765	Graziano Diana	La scorta, The Father and the Foreigner, Ultrà
nm0118809	Jan Bucquoy	La vie sexuelle des Belges 1950-1978
nm2378914	Advait Chandan	Laal Singh Chaddha, Like Stars on Earth, Secret Superstar
nm0447312	Julian Kemp	Last Train to Christmas, My Last Five Girlfriends
nm0096066	Jacek Borcuch	Lasting, Slodki koniec dnia
nm0003784	Joe Grisaffi	Laughing Boy
nm3594599	Mathilde Jounot	Le syndrome du Titanic
nm0339004	Luke Greenfield	Let's Be Cops, The Animal, The Girl Next Door
nm2359677	Tsuyoko Yoshido	Letters from Iwo Jima
nm2731620	Jeffrey Addiss	Life in a Year
nm0562110	Robert May	Lily and Jim
nm7931792	Jiuwei Fan	Lobster Cop
nm0040248	Kutlug Ataman	Lola and Billy the Kid
nm1319883	Robert Pratten	London Voodoo
nm0302175	Marco Aurelio Galindo	Los Fernández de Peralvillo
nm0327950	Rogelio A. González	Los tres García
nm0835249	Caroline Strubbe	Lost Persons Area
nm0438279	Jonathan Kaplan	Love Field, The Accused, White Line Fever
nm0271058	Jon Harmon Feldman	Lovelife
nm2798916	J. Michael Feldman	Mafia Mamma
nm0854458	Lulu Silva Telles	Mais Uma Vez Amor
nm1917918	Josh Melrod	Major Arcana
nm3441858	Cody Sheehy	Make People Better
nm0467007	Michael Koser	Malatesta
nm0448273	Paul Kennedy	Mandrake, Nightride
nm0640874	Michael O'Donoghue	Manhattan, Mr. Mike's Mondo Video, Scrooged
nm2787574	Jaroslav Pelikan	Martin Luther
nm0210938	Franco de Peña	Masz na imie Justine
nm0088631	Lisa Friedman Bloch	Maternal Instincts
nm3326895	Alex K. Lee	Maybe Tomorrow
nm3391595	Marshal Younger	Meant to Be, The Matchbreaker
nm1203789	Geeta Vasant Patel	Meet the Patels, The Rundown
nm2638462	David A. Wilson	Meeting David Wilson
nm0334517	Hardie Gramatky	Melody Time
nm0756650	H.F. Saint	Memoirs of an Invisible Man
nm1323286	Kwang-rim Kim	Memories of Murder
nm0152255	Paul Chaplin	Memphis Belle, Mystery Science Theater 3000: The Movie
nm9627466	Morgan Capps	Meow Wolf: Origin Story
nm1273583	Mario Bortolotto	Meu Mundo em Perigo
nm6047221	Leandro Muniz	Meu Passado Me Condena: O Filme
nm0508900	Howard Libov	Midnight Edition
nm5861734	Levin Garbisch	Miranda Veil
nm0592735	Aleksandr Misharin	Mirror, Solaris
nm0850247	Sooni Taraporevala	Mississippi Masala, Salaam Bombay!, The Namesake, Yeh Ballet
nm0218268	Lucia Drudi Demby	Misunderstood, Oasis of Fear
nm0424041	Peter Johansson	Mixed Signals
nm2573654	Joe Riepenhoff	Modus Operandi, The Jeffrey Dahmer Files
nm0289040	James Fox	Moment of Contact
nm1176387	Claudio Quarantotto	Mondo candido
nm0627156	Silke Neumayer	Mondscheintarif
nm0579466	Ramón Menéndez	Money for Nothing, Stand and Deliver, Tortilla Soup
nm2373713	Jesse Thomas Cook	Monster Brawl, The Hoard
nm1771348	Oscar Alvarez	More Than Miyagi: The Pat Morita Story, The Real Miyagi
nm0295165	Brent Friedman	Mortal Kombat: Annihilation
nm0412301	J. Scott Iverson	Mr. Krueger's Christmas
nm0119316	Nicholas Bufalo	Mr. Nice Guy
nm0230666	Walt Dohrn	Mr. Peabody & Sherman, Shrek Forever After, Shrek the Third, Trolls
nm0078657	James Beshears	Murder at 1600, The Fugitive, The Quick and the Dead, The Rocketeer
nm5390922	Manuel Alcalá	Museo
nm8237691	Kivanç Sezer	My Father's Wings
nm0602214	Esther Mor	My Michael
nm7259545	Gaia Manzini	My Mother
nm0326107	Martin Goldsmith	Narrow Margin, Shakedown, The Narrow Margin
nm5140080	Dmitriy Suvorov	Naughty, The One
nm1871594	Camille Thoman	Never Here
nm3626440	Rodney Ray	New Hope
nm0482011	Jack Lait	New York Confidential
nm0329318	Marcus Goodrich	Night Waitress
nm2336357	Guy Édoin	Frontiers, Ville-Marie, Wetlands
nm0249136	Roger Edens	Funny Face, On the Town, Singin' in the Rain, Strike Up the Band
nm9140275	Scot Eritemu	Gbomo Gbomo Express
nm0957772	Rob Zombie	Grindhouse, Halloween, The Devil's Rejects
nm0638256	Ilya Nusinov	Heat, Once Upon a Time There Was a Singing Blackbird
nm2099365	Dan Chinander	Hiding Victoria
nm0461388	Pit Knorr	Holly - The Movie, Otto - Der Außerfriesische, Otto - Der Liebesfilm, Otto - Der Neue Film
nm0397550	Philip Howard	Home Is the Hero
nm1760648	Séverine Werba	How to Be a Good Wife
nm0574926	Shepherd Mead	How to Succeed in Business Without Really Trying
nm2875675	Bruno Hébert	It's Not Me, I Swear!
nm1457654	Kenneth Oppel	Kaena: The Prophecy
nm0806102	Trace Slobotkin	Kickin' It Old Skool
nm0417597	Arkadiusz Janiczek	Komisarz Blond i Oko Sprawiedliwosci, Plac Zbawiciela
nm0548450	Nancy Markham	L'argent des autres
nm0818236	Renato W. Spera	Lady Liberty
nm14792623	Kseniya Datnova	Land of Legends
nm12070107	Cezary Lazarewicz	Leave No Traces
nm17452709	Yaru Zhao	Legend of the Demon Seal
nm2675586	Amit Gupta	Let the Game Begin
nm0058638	Roland Barthes	Let the Sunshine In, The Brontë Sisters
nm2919190	Tsutomu Nakamura	Lone Wolf and Cub: White Heaven in Hell, Zatoichi
nm0379586	Gustau Hernández Mor	Los fieles sirvientes
nm13837674	Selen Bagci	Make Me Believe
nm6631350	Lazaros Mpalaouras	Marionetes
nm3423530	Ben Steiner	Matriarch
nm8106588	Marie-Douce St-Jacques	Maudite poutine
nm1464507	Alexandra Leclère	Me and My Sister, The Roommates Party
nm0587510	Sebastian Milito	Mission: Impossible III, Star Trek, Vanilla Sky, xXx: State of the Union
nm1164921	Torstein Grude	Mogadishu Soldier
nm0095916	Vladimír Bor	Morgiana, The Mysterious Castle in the Carpathians
nm7153857	Lídia Szabó	Moth
nm0803366	Vaughan Sivell	Mr Calzaghe
nm13181846	Robin Whitten	Murder Manual
nm0388227	David Hodgin	Murder at 1600
nm0970382	Piotr Trzaskalski	My Father's Bike
nm5292340	Na-hyun Kim	My Way
nm0594134	Bob Mittenthal	National Lampoon's Ratko: The Dictator's Son
nm7342818	Yi Wu Xin	Never Gone
nm2160298	Benjamin Wilbanks	Night Crawlers
nm0527480	Jerzy Lutowski	Night Train
nm0282061	Lucille Fletcher	Night Watch, Sorry, Wrong Number
nm4979554	Jose Eduardo Cortes Moreno	Háblame de ti
nm0251978	Dennis Eisenberg	Lansky
nm1105160	Marine Francen	Mesrine: Killer Instinct, Mesrine: Public Enemy No. 1, The Sower
nm2581373	Yao Meng	My Lucky Star, New York, I Love You
nm2410382	Jonathan Straiton	Night of Something Strange
nm10783090	J.A. White	Nightbooks
nm0371230	Stephen K. Hayes	Ninja Vengeance
nm0768890	Fabio Scamoni	Nirvana, Quo Vadis, Baby?
nm0278326	Augusto Finocchi	No, the Case Is Happily Resolved, The Italian Connection, Wanted
nm0651575	Kevin Osborn	Not Quite Human II, Still Not Quite Human
nm3877887	Max Werner	Ode to Joy
nm3439185	Harikrishnan	Odiyan, One Heart: The A.R. Rahman Concert Film
nm8285512	Christian Grajeras	Oil on Canvas
nm0221613	Raphaëlle Desplechin	Olga, On Tour, Our Struggles
nm4516158	Sylvie Lotiron	Omar Killed Me
nm5722212	Nóra Rainer-Micsinyei	On Body and Soul, Things Worth Weeping For
nm0150909	Tin-Suen Chan	Once Upon a Time in China II, Once Upon a Time in China III, Swordsman II
nm0240357	Alan Duff	Once Were Warriors, What Becomes of the Broken Hearted?
nm0384767	Weldon Hill	Onionhead
nm4180255	Abdulla Al Kaabi	Only Men Go to the Grave
nm2085938	Masako Yana	Onna bakari no yoru
nm2560539	Brian Turner	Operation Homecoming: Writing the Wartime Experience
nm0295223	Hank Friedmann	Our RoboCop Remake
nm0834217	Thomas Strelich	Out There
nm2754460	Gayl Decoursey	Out of Reach
nm0752247	Morrie Ruvinsky	Outrage
nm1584229	Hatem Benabdallah	P.L.U.G., The Ring, The Weather Man
nm0003456	Derek Vaughn	P.S. Your Cat Is Dead!, The Cooler
nm0051841	Partha Banerjee	Paar
nm7865969	Huan Wang	Painted Skin: The Resurrection, The Final Master
nm0441601	Monte M. Katterjohn	Paradise Island
nm0068087	C.W. Bell	Parlor, Bedroom and Bath
nm5244535	Vishnu Vaman Shirwadkar	Party
nm3391044	Miwa Ueda	Peach Girl
nm1829803	Qiang Li	Peacock, So Young, The Golden Era, The Postmodern Life of My Aunt
nm0586144	Dragoslav Mihailovic	Petrijin venac
nm0739311	Sandro Romero Rey	Pickpockets
nm0444027	Patricia Kearns	Pink Ribbons, Inc.
nm6207210	Kathrine Valen Zeiner	Pioneer
nm0121789	Martyn Burke	Pirates of Silicon Valley, The Pentagon Wars, The Second Civil War, Under Fire: Journalists in Combat
nm0253790	René Elizondo	Poetic Justice, Rhythm Nation 1814
nm7976415	Yekaterina Krongauz	Poka noch ne razluchit
nm9853356	Víctor Santos	Polar
nm0430629	Karole Rocher	Polisse
nm0352703	Heinrich Hadding	Pope Joan, Run Boy Run
nm7869796	Alessio Nencioni	Possessione demoniaca
nm1337713	Jean Libon	Poulet frites, So Help Me God
nm4210251	Pablo Moreno	Poveda, The Network of Freedom
nm0312461	Aleksandr Gelman	Premiya
nm6433160	Helena Hufnagel	Pretty Far from Okay
nm0719339	Les Rendelstein	Private Parts
nm4006926	Britt Poulton	Profile, Them That Follow
nm2558121	Mil Choi	Project Makeover
nm0188219	Keith Critchlow	Project X, The Delta Force, Volunteers
nm1555340	Alison Brie	Promising Young Woman, The Lego Movie
nm2589598	Andrzej Strak	Przyjaciel wesolego diabla
nm6993960	Antoine Josset	Public Affairs
nm3665115	Gaby Amione	Puzzled Love
nm1299783	Timo Harakka	Pääministeri
nm1597736	Pathik Vats	Qayamat: City Under Threat, Sarfarosh
nm0098639	Caroline Bottaro	Queen to Play
nm2880194	Nicholas Weinstock	Queenpins
nm1713423	Kengo Ishiguro	Quill: The Life of a Guide Dog
nm0257093	Janice Engel	Raise Hell: The Life & Times of Molly Ivins
nm5346256	Givi Odisharia	Ramin
nm0422922	Daniel Jiménez	Raquel's Shoeshiner
nm6178682	Shadi Alfons	Rashid & Rajab
nm0359538	Ian Handford	Reasonable Doubt
nm0088450	Fabrice Blind	Recto/Verso
nm0535226	Lee Madsen	Red Zone
nm5176283	Lilly Kanso	Refuge
nm0762504	Kelley Sane	Rendition
nm5405462	Marissa Miley	Restless Virgins
nm5272933	Casey Clapp	Return to Nuke 'Em High Volume 1, Return to Return to Nuke 'Em High Aka Vol. 2
nm0578762	George Mence	Rhythm in the Clouds
nm2780927	Gero Giglio	Richard The Lionheart, Three Steps Over Heaven
nm0276869	Tom Filer	Ride in the Whirlwind, The Beast with a Million Eyes, The Space Children
nm0422161	Bill Jesse	Riff-Raff
nm0876223	Harry Tugend	Road to Bali, Take Me Out to the Ball Game
nm0255750	Paul Elston	RocknRolla
nm4940554	Danny Garcia	Rolling Stone: Life and Death of Brian Jones
nm0002131	Laurence Harvey	Room at the Top, The Manchurian Candidate, The Wonderful World of the Brothers Grimm, Walk on the Wild Side
nm1971888	Christian O'Reilly	Rory O'Shea Was Here
nm0695930	Erik Lee Preminger	Rosebud, Such Good Friends, Tell Me That You Love Me, Junie Moon, The Heartbreak Kid
nm0840779	Gonzalo Suárez	Rowing with the Wind
nm6379626	Vikramjit Singh	Roy
nm3242924	Nikolay Shcherbakov	Rud i Sem
nm0054855	Cordell Barker	Runaway, Strange Invaders, The Cat Came Back
nm3311094	Keishi Otomo	Rurouni Kenshin Part I: Origins, Rurouni Kenshin Part II: Kyoto Inferno
nm2224565	Russell Howard	Russell Howard Live: Dingledodies, Russell Howard: Live
nm1552776	Ruxandra Zenide	Ryna
nm6049126	Antoin Beag Ó Colla	Rúbaí
nm1699688	Ersoy Güler	Sag Salim
nm14547405	Chen Li	Sakra
nm0174789	Lige Conley	Sally, Irene and Mary
nm0409327	Yasushi Inoue	Samurai Banners
nm0601047	Christopher Moore	Santa and Pete
nm0652679	Fernando Osés	Santo vs. Frankenstein's Daughter
nm0160961	Dato Chubinishvili	Sapekhuri
nm2511004	Gabriele Amorth	Satan Lives, The Devil and Father Amorth, The Pope's Exorcist
nm0893704	Jirí Vercák	Saturnin
nm0994397	Paul Polycarpou	Saving Banksy
nm2231310	Beverly Lewis	Saving Sarah Cain, The Confession, The Reckoning, The Shunning
nm0712875	John Ray	Scalps
nm0002271	Rex Ingram	Scaramouche, The Magician
nm1389818	Jon Hoffman	Scarred
nm0223664	Saverio Di Biagio	Scattered Cloud
nm0176990	David Cook	Second Best
nm0078667	Rudolph Besier	Secrets, The Barretts of Wimpole Street
nm0188061	Giorgio Cristallini	Sei iellato, amico hai incontrato Sacramento
nm14839790	Tatsuji Yamagishi	Sensation of the Century
nm1204568	David Von Ancken	Seraphim Falls
nm0323758	Andy Goddard	Set Fire to the Stars
nm0087503	Jonathan Blank	Sex, Drugs & Bicycles
nm0316724	Ric Gibbs	Shadow Conspiracy
nm0155488	Ivan Chendej	Shadows of Forgotten Ancestors
nm0322785	James Glickenhaus	Shakedown, The Exterminator, The Soldier
nm5802564	Kitty Percy	She Will
nm1765667	Marc Carlini	She's in Portland
nm2390228	Virag Mishra	Shootout at Lokhandwala
nm6513058	Barak Barkan	Silence & Darkness
nm6333772	Taryn Stenberg	Silent Retreat
nm3250922	Roeland Linssen	Silk Road
nm1588569	Teemu Molin	Skeleton Crew, The Book of Fate
nm0911631	John Ward	Sleeping with the Enemy
nm2677839	Alex Hyner	Sleight, Sweetheart
nm2242713	Alex Theurer	Sleight, Sweetheart
nm1202363	Julio D. Wallovits	Smoking Room
nm9207301	Adrian Schiop	Soldiers: Story from Ferentari
nm0307246	Jack Garfein	Something Wild, The Strange One
nm0512292	Philip Lindsay	Song of Freedom, The Private Life of Henry VIII
nm0532910	Derek MacIver	Sons of the Sea
nm3663323	Ayten Amin	Souad
nm1380360	Kit Hung	Soundless Wind Chime
nm3638948	Shawn Gerrard	Space & Time
nm0273033	Peter Fernandez	Speed Racer, The Good, the Bad and the Ugly, What's Eating Gilbert Grape
nm0249232	William Edgar	Stacey
nm0132414	Doug Campbell	Stalked by My Doctor, The Surrogate, The Tomorrow Man
nm3762045	Law Chen	Starring Jerry as Himself
nm0373190	Tom Hedegaard	Stolen Spring
nm0689574	Michael Polley	Stories We Tell, The Adventures of Baron Munchausen
nm0933262	David Wilson	Strangers in Good Company
nm0458611	Dena Kleiman	Strapped
nm4098234	Tyson Wade Johnston	Streamline
nm1448771	Akira Yasuda	Street Fighter: The Legend of Chun-Li
nm1086451	William F. Roemer Jr.	Sugartime
nm1372550	Dennis van de Ven	Suiker
nm4812045	Dylan Griffiths	Summerland
nm8205393	Benjamin	Sunspring
nm1229311	Heather Winters	Super Size Me, The Meyerowitz Stories, Two: The Story of Roman & Nyro
nm2319345	Jeffrey Sturges	Supergator
nm0358730	Len Hammond	Swamp Water, Too Hot to Handle
nm0148848	John Cerullo	Sweet Jesus, Preacherman
nm1407158	Roger Lindley	Taken by Grace
nm6313374	Tatjana Mülbeier	Tangerines
nm0915529	Christina Wayne	Tart
nm2533316	Viddesh Malandkar	Te3n, The Girl on the Train
nm0137180	Ron Corcillo	Teenage Mutant Ninja Turtles
nm3399455	Todd Garfield	Teenage Mutant Ninja Turtles
nm3618781	Mostofa Sarwar Farooki	Television
nm15605891	Robert Pulcini	Ten Thousand Saints
nm0035199	Leslie Arliss	Terror House, The Wicked Lady
nm0138609	Ted Nicolaou	TerrorVision, Vampire Journals
nm0523365	Robert Lowry	That Kind of Woman
nm0923317	Milton Wexler	That's Life!, The Man Who Loved Women
nm15667295	Juan Carlos Díaz	The (Silent) War
nm0449077	Michael Keon	The 7th Dawn
nm7848633	Yuriy Stukalin	The 8 Best Dates
nm7653088	Robert Villalobos	The 90 Day Plan
nm0161285	Peter Chung	The Animatrix, Æon Flux
nm6892461	Francesco Mirabelli	The Antithesis
nm0352516	Gilbert Hackforth-Jones	The Baby and the Battleship
nm6276982	Niceole R. Levy	The Banker
nm2373665	Gangjian Qiu	The Banquet
nm0217159	Stipe Delic	The Battle of Sutjeska
nm0900485	Román Viñoly Barreto	The Beast Must Die
nm0726748	Oscar Righini	The Belle Star Story, The Red Nights of the Gestapo
nm9663959	Quan Zheng	The Big Shot
nm0850227	Paul Tarantino	The Big Ugly
nm0837418	Eizô Sugawa	The Black Battlefront Kidnappers
nm1117468	Michael Berenson	The Black Waters of Echo's Pond
nm6175941	Tony Harrison	The Blue Bird
nm4343439	Arnold Grossman	The Boat Builder
nm6381192	Sophie Brooks	The Boy Downstairs
nm1866876	Tim Inman	The Bubble
nm0005003	Sean Hayes	The Bucket List, The Cat in the Hat, The Three Stooges
nm2986595	Adam Ahlbrandt	The Burnt House
nm3507223	Erik Klein	The Cell 2
nm0802623	Jay Cipes	The Challenge, Warning from Space
nm0292013	Jean-José Frappa	The Chess Player
nm0430360	Christine Jorgensen	The Christine Jorgensen Story
nm0448200	Margaret Kennedy	The Constant Nymph
nm0732325	Sam Robins	The Corpse Vanishes
nm1329994	Mark Kennedy	The Cry of Jazz
nm0070709	Mario Benedetti	The Dark Side of the Heart, The Truce
nm5552625	Thomas Willmann	The Dark Valley
nm0212212	Ralph De Vito	The Death Collector
nm1564641	Manolo Sarmiento	The Death of Jaime Roldos
nm0946385	George Yarbrough	The Devil All the Time, The Wonderful World of Tupperware, Zaat
nm0029231	Paul André	The Devil Came from Akasava, The Navigators
nm2107329	Izumi Takahashi	The Devil's Path
nm0018311	Caroline Alexander	The Endurance
nm3569391	Binnur Karaevli	The Eye of Istanbul
nm5023687	James Daplyn	The Fake
nm0363265	Pagan Danielle Harleman	The First Wave
nm2802994	Victoria Wharfe McIntyre	The Flood
nm2607125	José Pedro Lopes	The Forest of the Lost Souls
nm7881477	Noufal Abdullah	The Great Father
nm0502893	John Leone	The Great Smokey Roadblock, Tough Enough
nm6301406	Leah Hager Cohen	The Grief of Others
nm0848554	Amber Tamblyn	The Grudge 2, The Sisterhood of the Traveling Pants, The Sisterhood of the Traveling Pants 2
nm1730991	Chantelle De Carvalho	The Hatching
nm7730928	Nataliya Doroshkevich	The Heritage of Love
nm0938684	Jay Wolpert	Pirates of the Caribbean: At World's End, Pirates of the Caribbean: On Stranger Tides, Pirates of the Caribbean: The Curse of the Black Pearl, The Count of Monte Cristo
nm1899703	Robert M. Lindner	Pressure Point
nm1084937	Luiso Berdejo	Quarantine, REC, The Endless Trench
nm1032152	Bala Rajasekharuni	RRR
nm1373849	Robert Baer	Rendition, Syriana
nm2655805	Tom Melia	Rye Lane
nm0866744	Tsuneo Tomita	Sanshiro Sugata
nm11761142	Claire Boyles	Sister Swap: A Hometown Holiday
nm3068118	Jeff Williams	SoulBoy
nm9194344	Amish Kumar	Steven Universe: The Movie
nm0563505	Joey Mazzarino	The Adventures of Elmo in Grouchland, The Producers
nm1003807	John Cummings	The Big Heist
nm0759819	Madeleine Sami	The Breaker Upperers
nm6866164	Ishak Issa	The Claire Wizard Thesis
nm0825628	Sean Stein	The Couch Trip
nm7283069	Stéphanie Di Giusto	The Dancer
nm3812687	Hans Stjernswärd	The Farm
nm0623953	Miguel Necoechea	The Grey Automobile
nm7546166	Gustav Möller	The Guilty, The Guilty
nm0044016	Tony Ayres	The Home Song Stories
nm2070760	Hiroshi Tamura	The Homeless Student
nm0658140	Brad Palmer	The Host, The Hunger Games, The Hunger Games: Mockingjay - Part 2
nm1056741	Suzanne Collins	The Hunger Games, The Hunger Games: Mockingjay - Part 1, The Hunger Games: Mockingjay - Part 2
nm0436350	Ping-Hing Kam	The Imp
nm0515319	Douglas Livingstone	The Impossible Spy
nm0046296	Nicholas E. Baehr	The Incident
nm3553816	Börge Hellström	The Informer
nm0073205	Kei Beppu	The Invisible Avenger
nm0133627	W.H. Canaway	The Ipcress File
nm0738600	Gabriele Romagnoli	The Jewel, Uno bianca
nm0077460	Giulio Berruti	The Killer Nun, They Have Changed Their Face
nm0682061	Andrew Piddington	The Killing of John Lennon
nm3232494	Giordano Giulivi	The Laplace's Demon
nm4843792	Byoung-Wook Ahn	The Larva Island Movie
nm0006716	Seth Walther	The Last: Naruto the Movie
nm0416572	J. Frank James	The Legend of Earl Durand
nm4969902	Roger Harvey	The Legend of Sarila
nm2634606	Givi Shavgulidze	The Lighthouse
nm0250930	Fred Eggers	The Lineup, The Return of Mr. Moto
nm1056659	John Oliver	The Lion King, The Love Guru, The Smurfs
nm0541662	Loring Mandel	The Little Drummer Girl
nm1870116	Peter Kline	The Living Wake
nm2913073	Matty Arnold	The Long Green Line
nm7579159	Stephen Peltier	The Long Shadow
nm7895491	Christopher Wells	The Luring
nm1959660	Marc Hillefeld	The Magic Kids: Three Unlikely Heroes
nm0452932	Fanny Kilbourne	The Major and the Minor, You're Never Too Young
nm0780922	Dick Sebast	The Many Adventures of Winnie the Pooh, The Rescuers
nm0895387	Richard Vetere	The Marriage Fool, The Third Miracle, Vigilante
nm0242518	Caesar Dunn	The Mating Season
nm3197629	Michael Francis Gibson	The Mill and the Cross
nm0159347	Santi P. Choudhury	The Music Room
nm11453479	Joon-Hee Hong	The Naked Kitchen
nm0839231	Kjell Sundstedt	The New Man
nm1305724	Lise Macheboeuf	The Night Clerk
nm1931315	Jeffrey Grant Rice	The Night Stalker
nm9416293	Nadezhda Vorobeva	The Ninth
nm5505530	Dominic Orlando	The OA
nm11304922	Chalit Krileadmongkon	The One Hundred, The Promise
nm3188011	Agustín Toscano	The Owners, The Snatch Thief
nm3408014	Chuck Tatum	The Pacific
nm0865966	Miguel Ángel Toledo	The Path
nm1204442	Nicholas Tomnay	The Perfect Host
nm0054714	Mildred Barish	The Phantom Creeps
nm4327992	Jacques Vallee	The Phenomenon, UFOs: It Has Begun
nm0417903	Michael Janover	The Philadelphia Experiment
nm5345192	Anne-Lise Morin	The Restless
nm0874642	Yi-chun Tsai	The River
nm6170460	Ayoade Adeyanju	The Royal Hibiscus Hotel
nm2496844	John Shackleton	The Sleeping Room
nm5327133	Mathieu Landais	The Smell of Us
nm0048984	Tom Baker	The Sorcerers, Witchfinder General
nm0090014	Henry Blyth	The Square Peg
nm1876488	Aphrodite Jones	The Staircase Murders
nm1173525	Wing-Shing Ma	The Storm Riders
nm0635163	Antoinette Nordmann	The Story of the Fox
nm0846879	Charles Tait	The Story of the Kelly Gang
nm0407759	Jorge Illa	The Summertime Killer
nm3561683	Gustave Grillet	The Swallow and the Titmouse
nm3701784	Lindsay MacKay	The Swearing Jar, Wet Bum
nm0523785	Zigiang Lu	The Sword
nm0928139	Christopher Wilcha	The Target Shoots First
nm0035024	Kevin Arkadie	The Temptations
nm0940689	Lotta Woods	The Three Musketeers
nm2194769	José Amaro Carrillo	The Tip of the Iceberg
nm0626426	Aziz Nesin	The Top Scorer
nm6365920	Mark Gres	The Traitor
nm3934012	Chris Manask	The Tribe
nm0870651	Jane Trahey	The Trouble with Angels, Where Angels Go Trouble Follows!
nm1442766	Anne Snyder	The Truth About Alex
nm0519845	António Lopes Ribeiro	The Tyrant Father
nm0562942	Carlos Mayolo	The Vampires of Poverty
nm0767473	Roberto Savarese	The Wages of Fear
nm0334595	Sverre Gran	The Wayward Girl, Tonny
nm0748564	Niels Johan Rud	The Wayward Girl
nm2908934	Greg Truman	The Wiggles Movie
nm0294819	John Fricke	The Wonderful Wizard of Oz: 50 Years of Magic
nm1263934	Nisha Pahuja	The World Before Her, To Kill a Tiger
nm0793149	M.P. Shiel	The World, the Flesh and the Devil
nm1168141	Jean-Eric Troubat	The Young Lieutenant
nm0009632	Claude Accursi	Theodora, Slave Empress
nm0338197	Morris Lee Green	This Rebel Breed
nm1927850	Adam Foulkes	This Way Up
nm0020150	Britt Allcroft	Thomas and the Magic Railroad
nm0489995	Marcin Latallo	Three Colors: Blue, Three Colors: Red, Three Colors: White
nm0069471	Sergei Belov	Three Seconds
nm1188467	Oscar Rodrigues Alves	Titãs: A Vida Até Parece uma Festa
nm0330174	Ernest Gordon	To End All Wars
nm0975309	Kôhan Kawauchi	Tokyo Drifter
nm0450244	Lasse Keso	Tolonen
nm0879406	Muriel Téodori	Tom et Lola
nm0257290	Friedrich Engels	Too Early/Too Late
nm10372458	Muhammad Ahmes Avisiena Helvin	Too Handsome to Handle
nm3777220	Guillaume Grosse	Toril
nm1916385	Laurent Teyssier	Toril
nm7276741	Jon Reiner	Tree Man
nm1051233	Alanna Brown	Trees of Peace
nm15014575	Russ Friedman	Triassic Attack
nm1834166	David Fenster	Trona
nm1703621	Marcelo Machado	Tropicália
nm3217267	Kristen Lazarian	Trust
nm0665371	Harsha Patel	Tube Tales
nm2274201	Murat Boyacioglu	Turks in Space
nm8549031	Taylor Shaw	Two Steps from Hope
nm2227704	Meredith Scardino	Unbreakable Kimmy Schmidt: Kimmy vs the Reverend
nm0737301	Bernhard Rogge	Under Ten Flags
nm0718670	Daniel Reitz	Urbania
nm3782372	Stephen Ohl	Useless Humans
nm2479157	Tom Mullen	Vacation Friends, Vacation Friends 2
nm1343715	Per Vadmand	Valhalla
nm0614689	Scott Murphy	Valley of the Gods, Willy the Sparrow
nm1699856	Harriet Perlman	Vaya
nm0216485	François Delaroyère	Veraz
nm0110394	George Broadhurst	What Happened to Jones?
nm3046427	Josh Mendoza	What Still Remains
nm15942204	Nick Welles	When the Game Stands Tall
nm1110074	Benny Mathews	Where's the Party Yaar?
nm0052249	Sydney Banks	Whispering City
nm0163727	Brian Clark	Whose Life Is It Anyway?
nm0321737	Juliane Hiam	Wilbur Falls
nm6772166	Okwari Fortin	Wild Life
nm3693963	Hilary Mantel	Wolf Hall
nm1024094	Michael B. Chait	Wolf Hound
nm9391151	Jeff Kerr	Writer's Block
nm13096696	Gongpu Wang	Wu duo Jinhua
nm1457818	Przemyslaw Angerman	Wyjazd integracyjny
nm1636254	Tom Palmer	Yami no teiô kyuketsuki dorakyura
nm1050532	Karl Siebig	Youth Wars - Beobachtungen in der deutschen Provinz
nm0969834	Vladimir Obruchev	Zemlya Sannikova
nm3076898	Vladislav Todorov	Zift
nm0792490	Jonathan Marc Sherman	tick, tick... BOOM!
nm0306677	Monique Gardenberg	Ó Pai, Ó: Look at This
nm0184632	Sada Cowan	
nm3355108	Joanna Calo	
nm0707202	Elena Rayskaya	
nm0453994	Jimmy Kimmel	
nm0313286	Jim Geoghan	
nm0047143	Anne Howard Bailey	
nm1108104	Jonathan Greene	
nm0195140	Luigi Filippo D'Amico	
nm0281100	Siobhan Flanagan	
nm0126210	Johnny Byrne	
nm0187330	Chiara Cremaschi	
nm0588505	J. Clarkson Miller	
nm3958237	Silvia Wolkan	
nm0096951	Mark Borkowski	
nm0156213	Howard Chesley	
nm1692270	Morgan Krantz	
nm0203749	Howard Davies	
nm0089369	Jill E. Blotevogel	
nm0638952	László Nádasy	
nm9462230	Joshua Kazemi	
nm2234558	Omar Mustre	
nm5176177	Kenta Ihara	
nm2813715	Robin Veith	
nm0205365	Robert M. Davis	The Miracle Man
nm8724134	Tayoko Shiojiri	The Works and Days (of Tayoko Shiojiri in the Shiotani Basin)
nm4215026	Alex Child	Treehouse
