DIRECTORID|NAME|RESPOSTA|STATUS
nm0659626|Angelo Pannacciò|"{""IMDb_ID"":""nm0659626"",""Name"":""ANGELO PANNACCIO"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""ITA"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""ITALIAN""}"|success
nm3373450|Wrion Bowling|"{""IMDb_ID"":""nm3373450"",""Name"":""WRION BOWLING"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""INDIGENOUS"",""Nationality"":""USA"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNKNOWN""}"|success
nm7652356|Je-yong Mun|"{""IMDb_ID"":""nm7652356"",""Name"":""JE-YONG MUN"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""K O R"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""K O R E A N""}"|success
nm0648937|Ngozi Onwurah|"{""IMDb_ID"":""nm0648937"",""Name"":""NGOZI ONWURAH"",""Birthday"":""1966-00-00"",""Gender"":""FEMALE"",""Race"":""MIXED-RACE"",""Nationality"":""GBR"",""Birthplace"":""NIGERIA"",""Religion"":""UNKNOWN"",""Ethnicity"":""AFRO-BRITISH, OF NIGERIAN AND BRITISH DESCENT""}"|success
nm1879225|Farren Blackburn|"{""IMDb_ID"":""nm1879225"",""Name"":""FARREN BLACKBURN"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""GBR"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""BRITISH""}"|success
nm1414443|Jeff Thomas|"{""IMDb_ID"":""nm1414443"",""Name"":""JEFF THOMAS"",""Birthday"":""0000-00-00"",""Gender"":""UNKNOWN"",""Race"":""UNKNOWN"",""Nationality"":""UNK"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNKNOWN""}"|success
nm0366045|Lee Harry|"{""IMDb_ID"":""nm0366045"",""Name"":""LEE HARRY"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""UNKNOWN"",""Nationality"":""USA"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNKNOWN""}"|success
nm0468778|Karl Kozak|"{""IMDb_ID"":""nm0468778"",""Name"":""KARL KOZAK"",""Birthday"":""0000-00-00"",""Gender"":""UNKNOWN"",""Race"":""UNKNOWN"",""Nationality"":""USA"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNKNOWN""}"|success
nm5434630|Angelica De Alba|"{""IMDb_ID"":""nm5434630"",""Name"":""ANGELICA DE ALBA"",""Birthday"":""0000-00-00"",""Gender"":""UNKNOWN"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""UNKNOWN"",""Religion"":""ISLAM"",""Ethnicity"":""HISPANIC-AMERICAN""}"|success
nm0155400|Verónica Chen|"{""IMDb_ID"":""nm0155400"",""Name"":""VERONICA CHEN"",""Birthday"":""1966-00-00"",""Gender"":""FEMALE"",""Race"":""ASIAN"",""Nationality"":""ARG"",""Birthplace"":""BUENOS AIRES, BUENOS AIRES, ARG"",""Religion"":""UNKNOWN"",""Ethnicity"":""CHINESE-ARGENTINE""}"|success
nm3491677|Craig Tudor James|"{""IMDb_ID"":""nm3491677"",""Name"":""CRAIG TUDOR JAMES"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""MIXED-RACE"",""Nationality"":""UNK"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNKNOWN""}"|success
nm2912984|NC Heikin|"{""IMDb_ID"":""nm2912984"",""Name"":""NC HEIKIN"",""Birthday"":""0000-00-00"",""Gender"":""FEMALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNKNOWN""}"|success
nm3724959|Justin Nijm|"{""IMDb_ID"":""nm3724959"",""Name"":""JUSTIN NIJM"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNKNOWN""}"|success
nm5385506|Steve Brown|"{""IMDb_ID"":""nm5385506"",""Name"":""STEVE BROWN"",""Birthday"":""0000-00-00"",""Gender"":""UNKNOWN"",""Race"":""UNKNOWN"",""Nationality"":""UNK"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNK Now N""}"|success
nm0580726|Joseph Merhi|"{""IMDb_ID"":""nm0580726"",""Name"":""JOSEPH MERHI"",""Birthday"":""1953-00-00"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""LEBANESE-AMERICAN""}"|success
nm4401419|Todd Levin|"{""IMDb_ID"":""nm4401419"",""Name"":""TODD LEVIN"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""UNKNOWN"",""Religion"":""SPIRITISM"",""Ethnicity"":""Ŀ Ĵ Ĳ Ĳ Ĳ Ĳ Ĳ Ĳ Ĳ Ĳ Ĳ Ĳ Ĳ Ĳ""}"|success
nm2206827|Bradley Kaplan|"{""IMDb_ID"":""nm2206827"",""Name"":""BRADLEY KAPLAN"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNKNOWN""}"|success
nm0354247|Fred Haines|"{""IMDb_ID"":""nm0354247"",""Name"":""FRED HAINES"",""Birthday"":""1936-00-00"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""AMERICAN""}"|success
nm1394881|William Scoular|"{""IMDb_ID"":""nm1394881"",""Name"":""WILLIAM SCOULAR"",""Birthday"":""0000-00-00"",""Gender"":""UNKNOWN"",""Race"":""UNKNOWN"",""Nationality"":""UNK"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNKNOWN""}"|success
nm2409870|Ben-Alex Dupris|"{""IMDb_ID"":""nm2409870"",""Name"":""BEN-ALEX DUPRIS"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""MIXED-RACE"",""Nationality"":""U S A"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""N A T I V E A M E R I C A N""}"|success
nm2968002|Ryan Short|"{""IMDb_ID"":""nm2968002"",""Name"":""RYAN SHORT"",""Birthday"":""0000-00-00"",""Gender"":""UNKNOWN"",""Race"":""UNKNOWN"",""Nationality"":""UNK"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNK Nown""}"|success
nm0656765|Dave Paiko|"{""IMDb_ID"":""nm0656765"",""Name"":""DAVE PAIKO"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNKNOWN""}"|success
nm2657276|Ed Aldridge|"{""IMDb_ID"":""nm2657276"",""Name"":""ED ALDRIDGE"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""MIXED-RACE"",""Nationality"":""UNK"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""Unk""}"|success
nm0805751|Maciej Slesicki|"{""IMDb_ID"":""nm0805751"",""Name"":""MACIEJ SLESICKI"",""Birthday"":""1960-00-00"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""POL"",""Birthplace"":""WARSAW, MASOVIAN VOIVODESHIP, POL"",""Religion"":""CHRISTIANITY - CATHOLIC"",""Ethnicity"":""POLISH""}"|success
nm2239085|Don Bitters III|"{""IMDb_ID"":""nm2239085"",""Name"":""DON BITTERS III"",""Birthday"":""0000-00-00"",""Gender"":""UNKNOWN"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNKNOWN""}"|success
nm0003313|Lynne Littman|"{""IMDb_ID"":""nm0003313"",""Name"":""LYNNE LITTMAN"",""Birthday"":""1941-06-26"",""Gender"":""FEMALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""NEW YORK CITY, NEW YORK, USA"",""Religion"":""UNKNOWN"",""Ethnicity"":""JEWISH-AMERICAN""}"|success
nm0151504|N. Chandra|"{""IMDb_ID"":""nm0151504"",""Name"":""N. CHANDRA"",""Birthday"":""1952-06-20"",""Gender"":""MALE"",""Race"":""ASIAN"",""Nationality"":""IND"",""Birthplace"":""MUMBAI, MAHARASHTRA, IND"",""Religion"":""UNKNOWN"",""Ethnicity"":""INDIAN""}"|success
nm3838717|David Beton|"{""IMDb_ID"":""nm3838717"",""Name"":""DAVID BETON"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""GBR"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""BRITISH""}"|success
nm0916039|Bruce Webb|"{""IMDb_ID"":""nm0916039"",""Name"":""BRUCE WEBB"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""UNKNOWN"",""Nationality"":""GBR"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNKNOWN""}"|success
nm7455249|Lee Jung-ho|"{""IMDb_ID"":""nm7455249"",""Name"":""LEE JUNG-HO"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""MIXED-RACE"",""Nationality"":""KOR"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""KOREAN""}"|success
nm3706989|Natalie Krinsky|"{""IMDb_ID"":""nm3706989"",""Name"":""NATALIE KRINSKY"",""Birthday"":""0000-00-00"",""Gender"":""FEMALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""AMERICAN""}"|success
nm0647099|Luis Oliveros|"{""IMDb_ID"":""nm0647099"",""Name"":""LUIS OLIVEROS"",""Birthday"":""0000-00-00"",""Gender"":""UNKNOWN"",""Race"":""UNKNOWN"",""Nationality"":""UNK"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNKNOWN""}"|success
nm0058191|Wesley Barry|"{""IMDb_ID"":""nm0058191"",""Name"":""WESLEY BARRY"",""Birthday"":""1907-07-01"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""LOS ANGELES, CALIFORNIA, USA"",""Religion"":""UNKNOWN"",""Ethnicity"":""AMERICAN""}"|success
nm1810195|Zach Klinefelter|"{""IMDb_ID"":""nm1810195"",""Name"":""ZACH KLINEFELTER"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""UNKNOWN"",""Nationality"":""UNK"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNK NOWN""}"|success
nm0124112|Dan Bush|"{""IMDb_ID"":""nm0124112"",""Name"":""DAN BUSH"",""Birthday"":""1973-00-00"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""AMERICAN""}"|success
nm1660595|Charlie McDowell|"{""IMDb_ID"":""nm1660595"",""Name"":""CHARLIE MCDOWELL"",""Birthday"":""1983-09-19"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""LOS ANGELES, CALIFORNIA, USA"",""Religion"":""UNKNOWN"",""Ethnicity"":""BRITISH-AMERICAN""}"|success
nm0004760|Jennifer Blanc-Biehn|"{""IMDb_ID"":""nm0004760"",""Name"":""JENNIFER BLANC-BIEHN"",""Birthday"":""1974-04-12"",""Gender"":""FEMALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""NEW YORK CITY, NEW YORK, USA"",""Religion"":""UNKNOWN"",""Ethnicity"":""AMERICAN""}"|success
nm0418131|Victor Janson|"{""IMDb_ID"":""nm0418131"",""Name"":""VICTOR JANSON"",""Birthday"":""1885-05-20"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""DEU"",""Birthplace"":""BORKUM, LOWER SAXONY, DEU"",""Religion"":""UNKNOWN"",""Ethnicity"":""GERMAN""}"|success
nm0742420|Rose Rosenblatt|"{""IMDb_ID"":""nm0742420"",""Name"":""ROSE ROSENBLATT"",""Birthday"":""0000-00-00"",""Gender"":""FEMALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNKNOWN""}"|success
nm9729904|Alex Pritz|"{""IMDb_ID"":""nm9729904"",""Name"":""ALEX PRITZ"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""AMERICAN""}"|success
nm3809735|Chaiporn Panichrutiwong|"{""IMDb_ID"":""nm3809735"",""Name"":""CHAIPORN PANICHRUTIWONG"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""ASIAN"",""Nationality"":""THA"",""Birthplace"":""UNKNOWN"",""Religion"":""BUDDHISM"",""Ethnicity"":""TH AI""}"|success
nm2317803|Bodo Kox|"{""IMDb_ID"":""nm2317803"",""Name"":""BODO KOX"",""Birthday"":""1969-01-01"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""POL"",""Birthplace"":""POLAND"",""Religion"":""CHRISTIANITY - CATHOLIC"",""Ethnicity"":""PO LISH""}"|success
nm0392945|Skip Homeier|"{""IMDb_ID"":""nm0392945"",""Name"":""SKIP HOMEIER"",""Birthday"":""1930-10-05"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""CHICAGO, ILLINOIS, USA"",""Religion"":""UNKNOWN"",""Ethnicity"":""AMERICAN""}"|success
nm4042990|Lauren Hadaway|"{""IMDb_ID"":""nm4042990"",""Name"":""LAUREN HADAWAY"",""Birthday"":""1985-01-01"",""Gender"":""FEMALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""AMERICAN""}"|success
nm2409576|Kirsten Kelly|"{""IMDb_ID"":""nm2409576"",""Name"":""KIRSTEN KELLY"",""Birthday"":""0000-00-00"",""Gender"":""FEMALE"",""Race"":""UNKNOWN"",""Nationality"":""UNK"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNKNOWN""}"|success
nm3271267|Richard Harrison|"{""IMDb_ID"":""nm3271267"",""Name"":""RICHARD HARRISON"",""Birthday"":""0000-00-00"",""Gender"":""UNKNOWN"",""Race"":""UNKNOWN"",""Nationality"":""UNK"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNK Nown""}"|success
nm2357847|Taylor Swift|"{""IMDb_ID"":""nm2357847"",""Name"":""TAYLOR SWIFT"",""Birthday"":""1989-12-13"",""Gender"":""FEMALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""WEST READING, PENNSYLVANIA, USA"",""Religion"":""CHRISTIANITY - PROTESTANT"",""Ethnicity"":""SCOTTISH-WELSH-GERMAN-AMERICAN""}"|success
nm1174214|Rodrigo Blaas|"{""IMDb_ID"":""nm1174214"",""Name"":""RODRIGO BLAAS"",""Birthday"":""1974-00-00"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""ESP"",""Birthplace"":""VALENCIA, VALENCIAN COMMUNITY, ESP"",""Religion"":""CHRISTIANITY - CATHOLIC"",""Ethnicity"":""SPANISH""}"|success
nm3163495|Robert Rippberger|"{""IMDb_ID"":""nm3163495"",""Name"":""ROBERT RIPPBERGER"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""UNKNOWN"",""Religion"":""ISLAM"",""Ethnicity"":""AMERICAN""}"|success
nm5173203|Jong-suk Lee|"{""IMDb_ID"":""nm5173203"",""Name"":""JONG-SUK LEE"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""ASIAN"",""Nationality"":""KOR"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""KOREAN""}"|success
nm0862795|Sean Tiedeman|"{""IMDb_ID"":""nm0862795"",""Name"":""SEAN TIEDEMAN"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNKNOWN""}"|success
nm6256741|Mark Nicolosi|"{""IMDb_ID"":""nm6256741"",""Name"":""MARK NICOLOSI"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""UNKNOWN"",""Religion"":""CHRISTIANITY - PROTESTANT"",""Ethnicity"":""ITALIAN-AMERICAN""}"|success
nm0140975|Ryan Carroll|"{""IMDb_ID"":""nm0140975"",""Name"":""RYAN CARROLL"",""Birthday"":""0000-00-00"",""Gender"":""UNKNOWN"",""Race"":""UNKNOWN"",""Nationality"":""UNK"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNKNOWN""}"|success
nm6424737|Adam Freise|"{""IMDb_ID"":""nm6424737"",""Name"":""ADAM FREISE"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNKNOWN""}"|success
nm0238115|Donald Driver|"{""IMDb_ID"":""nm0238115"",""Name"":""DONALD DRIVER"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""UNKNOWN"",""Nationality"":""UNK"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNKNOWN""}"|success
nm2098167|Pakphum Wongjinda|"{""IMDb_ID"":""nm2098167"",""Name"":""PAKPHUM WONGJINDA"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""ASIAN"",""Nationality"":""THA"",""Birthplace"":""UNKNOWN"",""Religion"":""BUDDHISM"",""Ethnicity"":""T HAI""}"|success
nm1596623|Bryan Storkel|"{""IMDb_ID"":""nm1596623"",""Name"":""BRYAN STORKEL"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNKNOWN""}"|success
nm4604633|Scott Schwartz|"{""IMDb_ID"":""nm4604633"",""Name"":""SCOTT SCHWARTZ"",""Birthday"":""0000-00-00"",""Gender"":""UNKNOWN"",""Race"":""INDIGENOUS"",""Nationality"":""GBR"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNKNOWN""}"|success
nm8196779|Chris Sexton Fletcher|"{""IMDb_ID"":""nm8196779"",""Name"":""CHRIS SEXTON FLETCHER"",""Birthday"":""0000-00-00"",""Gender"":""UNKNOWN"",""Race"":""UNKNOWN"",""Nationality"":""UNK"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNKNOWN""}"|success
nm0464412|Jenõ Koltai|"{""IMDb_ID"":""nm0464412"",""Name"":""JENO KOLTAI"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""HUN"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""HUNGARIAN""}"|success
nm0059106|Charles Barton|"{""IMDb_ID"":""nm0059106"",""Name"":""CHARLES BARTON"",""Birthday"":""1902-05-25"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""NEAR SAN FRANCISCO, CALIFORNIA, USA"",""Religion"":""UNKNOWN"",""Ethnicity"":""AMERICAN""}"|success
nm0961244|Raymond Kurzweil|"{""IMDb_ID"":""nm0961244"",""Name"":""RAYMOND KURZWEIL"",""Birthday"":""1948-02-12"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""QUEENS, NEW YORK, USA"",""Religion"":""NO RELIGION"",""Ethnicity"":""ASHKENAZI JEWISH-AMERICAN""}"|success
nm9402464|Zaya Benazzo|"{""IMDb_ID"":""nm9402464"",""Name"":""ZAYA BENAZZO"",""Birthday"":""0000-00-00"",""Gender"":""FEMALE"",""Race"":""WHITE"",""Nationality"":""FRA"",""Birthplace"":""UNKNOWN"",""Religion"":""NEW EASTERN RELIGIONS"",""Ethnicity"":""FRENCH""}"|success
nm0892264|Diego Velasco|"{""IMDb_ID"":""nm0892264"",""Name"":""DIEGO VELASCO"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""ESP"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNKNOWN""}"|success
nm9490928|Sharan Koppisetty|"{""IMDb_ID"":""nm9490928"",""Name"":""SHARAN KOPPISETTY"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""ASIAN"",""Nationality"":""IND"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""TELUGU INDIAN""}"|success
nm0522844|Stephen Low|"{""IMDb_ID"":""nm0522844"",""Name"":""STEPHEN LOW"",""Birthday"":""1950-00-00"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""CAN"",""Birthplace"":""MONTREAL, QUEBEC, CAN"",""Religion"":""UNKNOWN"",""Ethnicity"":""CANADIAN OF EUROPEAN DESCENT""}"|success
nm0259085|LeAnn Erickson|"{""IMDb_ID"":""nm0259085"",""Name"":""LEANN ERICKSON"",""Birthday"":""0000-00-00"",""Gender"":""FEMALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""AMERICAN""}"|success
nm0428572|Albert Zugsmith|"{""IMDb_ID"":""nm0428572"",""Name"":""ALBERT ZUGSMITH"",""Birthday"":""1910-04-24"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""ATLANTIC CITY, NEW JERSEY, USA"",""Religion"":""UNKNOWN"",""Ethnicity"":""AMERICAN OF JEWISH DESCENT""}"|success
nm2634102|Sukhum Mathawanit|"{""IMDb_ID"":""nm2634102"",""Name"":""SUKHUM MATHAWANIT"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""ASIAN"",""Nationality"":""T H A"",""Birthplace"":""U N K N O W N"",""Religion"":""BUDDHISM"",""Ethnicity"":""T H A I""}"|success
nm3184490|Yale Wilson|"{""IMDb_ID"":""nm3184490"",""Name"":""YALE WILSON"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""UNKNOWN"",""Nationality"":""UNK"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNK Nown""}"|success
nm7648371|Richard Mundy|"{""IMDb_ID"":""nm7648371"",""Name"":""RICHARD MUNDY"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""UNKNOWN"",""Nationality"":""UNK"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""U Nknown""}"|success
nm4038987|Mark C. Smith|"{""IMDb_ID"":""nm4038987"",""Name"":""MARK C. SMITH"",""Birthday"":""0000-00-00"",""Gender"":""UNKNOWN"",""Race"":""UNKNOWN"",""Nationality"":""UNK"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNK N Ow N""}"|success
nm3110515|Keith Rateliff|"{""IMDb_ID"":""nm3110515"",""Name"":""KEITH RATELIFF"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""UNKNOWN"",""Nationality"":""UNK"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNK Now N""}"|success
nm0997351|Petter Lennstrand|"{""IMDb_ID"":""nm0997351"",""Name"":""PETTER LENNSTRAND"",""Birthday"":""0000-00-00"",""Gender"":""UNKNOWN"",""Race"":""UNKNOWN"",""Nationality"":""SWE"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""SWEDISH""}"|success
nm0486778|George Langworthy|"{""IMDb_ID"":""nm0486778"",""Name"":""GEORGE LANGWORTHY"",""Birthday"":""0000-00-00"",""Gender"":""UNKNOWN"",""Race"":""UNKNOWN"",""Nationality"":""USA"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNK No WN""}"|success
nm1320437|Diana Whitten|"{""IMDb_ID"":""nm1320437"",""Name"":""DIANA WHITTEN"",""Birthday"":""0000-00-00"",""Gender"":""FEMALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNKNOWN""}"|success
nm1117808|Juan Carlos Cremata Malberti|"{""IMDb_ID"":""nm1117808"",""Name"":""JUAN CARLOS CREMATA MALBERTI"",""Birthday"":""1961-10-25"",""Gender"":""MALE"",""Race"":""MIXED-RACE"",""Nationality"":""CUB"",""Birthplace"":""HAVANA, HAVANA, CUB"",""Religion"":""UNKNOWN"",""Ethnicity"":""CUBAN OF MIXED EUROPEAN AND AFRICAN DESCENT""}"|success
nm4139584|Hong Eui-jeong|"{""IMDb_ID"":""nm4139584"",""Name"":""HONG EUI-JEONG"",""Birthday"":""0000-00-00"",""Gender"":""FEMALE"",""Race"":""WHITE"",""Nationality"":""KOR"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""KOREAN""}"|success
nm7539475|Rachyd Kusolkulsiri|"{""IMDb_ID"":""nm7539475"",""Name"":""RACHYD KUSOLKULSIRI"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""ASIAN"",""Nationality"":""THA"",""Birthplace"":""UNKNOWN"",""Religion"":""BUDDHISM"",""Ethnicity"":""T HAI""}"|success
nm0451674|Michel Khleifi|"{""IMDb_ID"":""nm0451674"",""Name"":""MICHEL KHLEIFI"",""Birthday"":""1950-00-00"",""Gender"":""MALE"",""Race"":""MIXED-RACE"",""Nationality"":""BEL"",""Birthplace"":""NAZARETH, NORTHERN DISTRICT, ISR"",""Religion"":""CHRISTIANITY - ORTHODOX"",""Ethnicity"":""PALESTINIAN-ARAB""}"|success
nm0317579|Oscar Gigard|"{""IMDb_ID"":""nm0317579"",""Name"":""OSCAR GIGARD"",""Birthday"":""0000-00-00"",""Gender"":""UNKNOWN"",""Race"":""UNKNOWN"",""Nationality"":""UNK"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNK N O w n""}"|success
